currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
172.985,178.74,173.21,165.51,173.13,170.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39432815,53154,153.27 - 200.0,13543786496,9.241192,BAP,2025-04-07 09:02:53.228944
172.49,178.74,173.21,165.51,173.13,167.85,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.398919,53430,153.27 - 200.0,13701466112,9.34878,BAP,2025-04-07 09:03:55.699503
172.95,178.74,173.21,165.51,172.95,167.84,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39999443,47545,153.27 - 200.0,13738403840,9.373983,BAP,2025-04-07 09:04:58.485074
171.97,178.74,173.21,165.51,173.13,167.84,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40022573,54051,153.27 - 200.0,13746347008,9.379403,BAP,2025-04-07 09:06:01.227016
171.97,178.74,173.21,165.51,173.13,168.86,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3977279,54088,153.27 - 200.0,13660556288,9.320867,BAP,2025-04-07 09:07:03.524339
171.97,178.74,173.21,165.51,173.13,171.16,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.3977279,54173,153.27 - 200.0,13660556288,9.320867,BAP,2025-04-07 09:08:06.087651
172.0,178.74,173.21,165.51,173.13,171.16,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39779732,57087,153.27 - 200.0,13662940160,9.322493,BAP,2025-04-07 09:09:08.651372
170.85,178.74,173.21,165.51,173.13,170.67,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.39513764,58654,153.27 - 200.0,13571589120,9.260162,BAP,2025-04-07 09:10:11.192134
173.45,178.74,173.21,165.51,173.45,170.67,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40115082,66358,153.27 - 200.0,13778121728,9.401083,BAP,2025-04-07 09:11:13.397332
177.19,178.74,173.21,165.51,178.07,170.68,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40980062,78393,153.27 - 200.0,14075210752,9.603794,BAP,2025-04-07 09:12:16.076365
177.19,178.74,173.21,165.51,178.07,171.16,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40980062,79094,153.27 - 200.0,14075210752,9.603794,BAP,2025-04-07 09:13:21.962357
180.07,178.74,173.21,165.51,180.07,171.16,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4164614,80386,153.27 - 200.0,14303986688,9.7598915,BAP,2025-04-07 09:14:24.610057
180.445,178.74,173.21,165.51,180.445,172.5,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.41732872,80729,153.27 - 200.0,14333774848,9.780217,BAP,2025-04-07 09:15:26.829413
178.21,178.74,173.21,165.51,180.445,173.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.41215965,83894,153.27 - 200.0,14156235776,9.659079,BAP,2025-04-07 09:16:32.929848
178.69,178.74,173.21,165.51,180.445,171.97,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.41315413,89135,153.27 - 200.0,14190392320,9.6823845,BAP,2025-04-07 09:19:03.080570
176.96,178.74,173.21,165.51,180.445,171.97,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40926868,93600,153.27 - 200.0,14056941568,9.591328,BAP,2025-04-07 09:20:05.882382
178.69,178.74,173.21,165.51,180.445,172.46,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.41326976,97044,153.27 - 200.0,14194364416,9.685095,BAP,2025-04-07 09:21:09.167389
175.85,178.74,173.21,165.51,180.445,172.46,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4067015,97245,153.27 - 200.0,13968768000,9.531165,BAP,2025-04-07 09:22:11.396655
175.56,178.74,173.21,165.51,180.445,172.46,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40603077,98958,153.27 - 200.0,13945731072,9.515447,BAP,2025-04-07 09:23:13.979811
175.56,178.74,173.21,165.51,180.445,172.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40603077,100094,153.27 - 200.0,13945731072,9.515447,BAP,2025-04-07 09:24:17.060856
174.45,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.4034636,101518,153.27 - 200.0,13857556480,9.455284,BAP,2025-04-07 09:25:27.673399
174.455,178.74,173.21,165.51,180.445,171.0,5.2,0.334,0.206,0.0,0.0,0.44671002,PEN,0.022720002,0.16518,432.381,0.40347517,104777,153.27 - 200.0,13857954816,9.455555,BAP,2025-04-07 09:26:31.063744
