currentPrice,previousClose,open,dayLow,dayHigh,bid,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,volume,fiftyTwoWeekRange,marketCap,trailingPE,symbol,timestamp
480.89,493.54,467.415,462.1,505.8451,481.92,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010654075,7249259,395.66 - 539.0,1038626258944,11.655115,BRK-B,2025-04-07 11:20:22.682593
480.895,493.54,467.415,462.1,505.8451,482.28,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010654186,7266709,395.66 - 539.0,1038637006848,11.655235,BRK-B,2025-04-07 11:21:25.114992
479.3364,493.54,467.415,462.1,505.8451,481.66,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010619655,7289197,395.66 - 539.0,1035270750208,11.61746,BRK-B,2025-04-07 11:22:27.279655
479.85,493.54,467.415,462.1,505.8451,481.07,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010631034,7299907,395.66 - 539.0,1036380078080,11.629909,BRK-B,2025-04-07 11:23:29.636574
480.47,493.54,467.415,462.1,505.8451,480.56,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001064477,7314267,395.66 - 539.0,1037719109632,11.644935,BRK-B,2025-04-07 11:24:32.035770
481.62,493.54,467.415,462.1,505.8451,480.51,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010670248,7324158,395.66 - 539.0,1040202924032,11.672807,BRK-B,2025-04-07 11:25:34.430802
482.55,493.54,467.415,462.1,505.8451,479.72,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010690852,7338519,395.66 - 539.0,1042211471360,11.695347,BRK-B,2025-04-07 11:26:36.665841
482.83,493.54,467.415,462.1,505.8451,480.62,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010697056,7359115,395.66 - 539.0,1042816237568,11.702133,BRK-B,2025-04-07 11:27:39.010048
483.16,493.54,467.415,462.1,505.8451,480.99,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010704367,7368768,395.66 - 539.0,1043529007104,11.710132,BRK-B,2025-04-07 11:28:41.385763
484.065,493.54,467.415,462.1,505.8451,481.29,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010724417,7375500,395.66 - 539.0,1045483618304,11.732065,BRK-B,2025-04-07 11:29:43.834146
484.44,493.54,467.415,462.1,505.8451,481.4,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010732725,7387078,395.66 - 539.0,1046293577728,11.741155,BRK-B,2025-04-07 11:30:45.986974
483.58,493.54,467.415,462.1,505.8451,481.41,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010713672,7396397,395.66 - 539.0,1044436090880,11.72031,BRK-B,2025-04-07 11:31:48.145324
484.05,493.54,467.415,462.1,505.8451,481.1,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010724084,7402433,395.66 - 539.0,1045451177984,11.731702,BRK-B,2025-04-07 11:32:50.454357
484.225,493.54,467.415,462.1,505.8451,480.31,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010727962,7417271,395.66 - 539.0,1045829189632,11.735944,BRK-B,2025-04-07 11:33:52.805481
483.39,493.54,467.415,462.1,505.8451,480.38,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010709463,7424259,395.66 - 539.0,1044025769984,11.715706,BRK-B,2025-04-07 11:34:55.477752
483.58,493.54,467.415,462.1,505.8451,480.46,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010713672,7430882,395.66 - 539.0,1044436090880,11.72031,BRK-B,2025-04-07 11:35:58.186710
483.58,493.54,467.415,462.1,505.8451,479.03,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010713672,7438855,395.66 - 539.0,1044436090880,11.72031,BRK-B,2025-04-07 11:37:01.751878
484.4,493.54,467.415,462.1,505.8451,479.22,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010731838,7444472,395.66 - 539.0,1046207135744,11.740185,BRK-B,2025-04-07 11:38:03.986129
484.3567,493.54,467.415,462.1,505.8451,479.57,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010730879,7456525,395.66 - 539.0,1046113615872,11.739135,BRK-B,2025-04-07 11:39:06.586418
483.52,493.54,467.415,462.1,505.8451,480.34,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010712342,7470750,395.66 - 539.0,1044306526208,11.718856,BRK-B,2025-04-07 11:40:08.994055
483.925,493.54,467.415,462.1,505.8451,480.92,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0010721316,7482220,395.66 - 539.0,1045181235200,11.728672,BRK-B,2025-04-07 11:41:11.443975
