currentPrice,previousClose,open,dayLow,dayHigh,bid,ask,volume,averageVolume,dividendYield,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,returnOnAssets,returnOnEquity,bookValue,priceToBook,symbol,timestamp
530.364990234375,532.58,531.88,527.5001,536.41,530.45,530.82,2459985,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.001175019,BRK-B,2025-04-01 13:38:37.570501
530.4550170898438,532.58,531.88,527.5001,536.41,530.55,530.85,2478205,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011752184,BRK-B,2025-04-01 13:43:38.200632
530.47998046875,532.58,531.88,527.5001,536.41,530.47,530.76,2498438,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011752737,BRK-B,2025-04-01 13:48:37.942049
530.4400024414062,532.58,531.88,527.5001,536.41,530.13,530.52,2513545,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011751851,BRK-B,2025-04-01 13:53:37.223744
531.280029296875,532.58,531.88,527.5001,536.41,530.32,530.58,2549215,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011772122,BRK-B,2025-04-01 13:58:46.177388
531.6599731445312,532.58,531.88,527.5001,536.41,530.29,530.5,2569469,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011778879,BRK-B,2025-04-01 14:03:37.260076
531.6849975585938,532.58,531.88,527.5001,536.41,530.3,530.44,2608083,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011779434,BRK-B,2025-04-01 14:08:37.787078
531.510009765625,532.58,531.88,527.5001,536.41,531.02,531.28,2629960,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011775558,BRK-B,2025-04-01 14:13:37.247689
531.3900146484375,532.58,531.88,527.5001,536.41,531.2,531.67,2673527,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011772899,BRK-B,2025-04-01 14:18:37.173855
531.7449951171875,532.58,531.88,527.5001,536.41,531.43,531.95,2699733,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011780764,BRK-B,2025-04-01 14:23:37.269414
531.6950073242188,532.58,531.88,527.5001,536.41,531.35,531.53,2738477,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011779655,BRK-B,2025-04-01 14:28:37.286130
532.5020751953125,532.58,531.88,527.5001,536.41,531.35,531.75,2784557,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011797536,BRK-B,2025-04-01 14:33:37.269931
532.22998046875,532.58,531.88,527.5001,536.41,531.65,531.78,2813796,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011791508,BRK-B,2025-04-01 14:38:37.291647
532.1599731445312,532.58,531.88,527.5001,536.41,531.71,531.78,2866728,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011789957,BRK-B,2025-04-01 14:43:37.170940
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.3,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:07:00.767541
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.3,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:11:56.783139
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.2,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:16:56.795512
532.989990234375,532.58,531.88,527.5001,536.41,533.15,533.2,4101203,4461705,,-0.474,0.016,0.30621,0.34082,0.25908002,USD,0.063930005,0.14653,451367.2,0.0011808346,BRK-B,2025-04-01 16:21:56.750944
